"filename", "language", "JSON with Comments", "HTML", "XML", "JavaScript", "JSON", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"e:\Workspace\Edu_Learn_Nest\app\components\card_components\Card_news.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 3, 50
"e:\Workspace\Edu_Learn_Nest\app\components\class_chat_components\ClassChatHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 1, 5, 43
"e:\Workspace\Edu_Learn_Nest\app\components\class_chat_components\ClassChatTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 158, 0, 0, 8, 166
"e:\Workspace\Edu_Learn_Nest\app\components\class_chat_components\types.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\Workspace\Edu_Learn_Nest\app\components\classes_components\ClassesHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 1, 6, 45
"e:\Workspace\Edu_Learn_Nest\app\components\classes_components\ClassesTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 136, 0, 0, 8, 144
"e:\Workspace\Edu_Learn_Nest\app\components\classes_components\types.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"e:\Workspace\Edu_Learn_Nest\app\components\community_components\CommunityHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 1, 5, 43
"e:\Workspace\Edu_Learn_Nest\app\components\community_components\CreatePostModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 55, 0, 0, 5, 60
"e:\Workspace\Edu_Learn_Nest\app\components\community_components\PostCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 4, 6, 63
"e:\Workspace\Edu_Learn_Nest\app\components\content_components\ContentHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 1, 5, 53
"e:\Workspace\Edu_Learn_Nest\app\components\content_components\ContentSidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 93, 0, 3, 7, 103
"e:\Workspace\Edu_Learn_Nest\app\components\content_components\DocumentGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 37, 0, 0, 5, 42
"e:\Workspace\Edu_Learn_Nest\app\components\documents_components\DocumentsHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 1, 5, 33
"e:\Workspace\Edu_Learn_Nest\app\components\exercise_components\ExerciseContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 4, 10, 90
"e:\Workspace\Edu_Learn_Nest\app\components\exercise_components\ExerciseHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 4, 66
"e:\Workspace\Edu_Learn_Nest\app\components\exercise_components\FileAttachmentSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 57, 0, 0, 4, 61
"e:\Workspace\Edu_Learn_Nest\app\components\exercise_components\GradeTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 128, 0, 0, 9, 137
"e:\Workspace\Edu_Learn_Nest\app\components\exercise_components\SubmissionList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 6, 50
"e:\Workspace\Edu_Learn_Nest\app\components\exercises_components\ExerciseCreateHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 105, 0, 5, 14, 124
"e:\Workspace\Edu_Learn_Nest\app\components\exercises_components\ExercisesHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 1, 9, 83
"e:\Workspace\Edu_Learn_Nest\app\components\exercises_components\ExercisesTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 144, 0, 0, 8, 152
"e:\Workspace\Edu_Learn_Nest\app\components\exercises_components\types.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"e:\Workspace\Edu_Learn_Nest\app\components\home_components\Banner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 5, 46
"e:\Workspace\Edu_Learn_Nest\app\components\home_components\Events.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 6, 128
"e:\Workspace\Edu_Learn_Nest\app\components\home_components\Features.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 106, 0, 0, 9, 115
"e:\Workspace\Edu_Learn_Nest\app\components\home_components\News.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 6, 73
"e:\Workspace\Edu_Learn_Nest\app\components\import_export_components\ImportExportConfig.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 134, 0, 7, 17, 158
"e:\Workspace\Edu_Learn_Nest\app\components\modal_components\ClassChatSearchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 134, 0, 4, 10, 148
"e:\Workspace\Edu_Learn_Nest\app\components\modal_components\ClassesSearchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 4, 10, 133
"e:\Workspace\Edu_Learn_Nest\app\components\modal_components\CommentModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 266, 0, 8, 16, 290
"e:\Workspace\Edu_Learn_Nest\app\components\modal_components\CommunitySearchModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 124, 0, 4, 10, 138
